a'ne|marys
aa|trox
abel|la
abi|gail
abru|unyo
ab|bé
adal|bert
ad|am
sarin|né
ad|el
ad|on
ad|uri
aer|in
ae|gar
ae|gwynn
ae|ri
ah|kari
ah|lam
ah|ri
aine|thatch
aka|li
aki|ra
ak|i
ak|shan
ala|tar
alb|boio
ales|sandra
alex|strasza
ali|star
all|god
al|bain
al|vin
ambro|sius
ami|tola
amo|gus
amo|gus
amu|mu
am|bas
am|bros
am|os
am|ras
am|roth
ana|aïs
ani|via
anse|elma
anu|riel
an|duin
aphe|lios
ara|dor
ara|gorn
ara|yaa
ard|wen
ari|vanya
arn|skar
arn|vald
arv|val
ar|kun
ar|thas
ar|thur
ast|rid
as|bjorn
as|geir
aug|ust
aul|e
aure|lian
auri|'el
au|bin
au|ri
aver|sa
ay|nara
az|an
az|ar
az|ir
a|lain
a|lina
a|she
bad|nir
bag|rak
bal|thus
bal|zac
banas|astra
ban|zo
barth|olomew
bar|ga
bar|ra
bas|scullo
ba|rd
ba|tum
bel|ladonna
bel|veth
beren|gar
be|lyn
be|orn
bidu|eiro
bil|la
bi|co
bjar|tur
bjor|lam
bj|ern
bj|org
blai|ddyd
blai|se
bla|ke
blein|heim
blitz|crank
bl|ack
bl|unt
boro|mir
bor|ba
bor|ne
bor|vir
bo|gg
bo|holt
bo|n
bran|d
bran|do
bran|wen
bra|ga
bra|m
bra|n
bra|nwen
bra|um
bra|nya
bre|gil
bre|ixo
bre|ixos
bre|lyna
bro|gg
bru|no
bru|ys
bryn|jolf
br|ee
brí|o
buck|man
bus|to
bu|se
by|leth
caeles|trasz
cae|sar
cai|us
cala|vera
calix|to
cali|gura
cal|lows
cami|lle
cam|isa
cam|inyo
can|ga
can|to
caro|line
car|din
car|men
car|ro
cassi|opeia
cas|par
ca|hara
ca|t
ca|xigo
cel|este
cel|ina
cena|rius
cerw|iden
cer|vexa
cer|ys
cham|bara
cha|ron
cha|z
cher|cha
che|da
chi|lon
chi|vay
cho|co
